xi,x_orig_mm,y_orig_mm,x_bumped_mm,y_bumped_mm,s_mm,h_mm
0.01675418855,-435.2422081,-5.363332614,-435.2422081,-5.363332614,24.2360226,0
0.0168792198,-435.1330538,-5.296355242,-435.1330538,-5.296355242,24.3640757,0
0.01700425106,-435.0238837,-5.229679179,-435.0238837,-5.229679179,24.49203697,0
0.01712928232,-434.9146975,-5.163307137,-434.9146975,-5.163307137,24.61977497,0
0.01725431358,-434.8054952,-5.097241832,-434.8054952,-5.097241832,24.74741179,0
0.01737934484,-434.6962766,-5.031485978,-434.6962766,-5.031485978,24.87491685,0
0.01750437609,-434.5870415,-4.96604229,-434.5870415,-4.96604229,25.00222598,0
0.01762940735,-434.4777898,-4.900913298,-434.4777898,-4.900913298,25.12944129,0
0.01775443861,-434.3685216,-4.836098003,-434.3685216,-4.836098003,25.25647759,0
0.01787946987,-434.2592371,-4.771592216,-434.2592371,-4.771592216,25.38336886,0
0.01800450113,-434.1499365,-4.707391635,-434.1499365,-4.707391635,25.51016902,0
0.01812953238,-434.04062,-4.643491957,-434.04062,-4.643491957,25.63675555,0
0.01825456364,-433.9312879,-4.579888878,-433.9312879,-4.579888878,25.7632482,0
0.0183795949,-433.8219404,-4.516578095,-433.8219404,-4.516578095,25.88961961,0
0.01850462616,-433.7125777,-4.453555307,-433.7125777,-4.453555307,26.01581632,0
0.01862965741,-433.6032001,-4.390816209,-433.6032001,-4.390816209,26.14193095,0
0.01875468867,-433.4938078,-4.328356499,-433.4938078,-4.328356499,26.26789114,0
0.01887971993,-433.3844009,-4.266171875,-433.3844009,-4.266171875,26.39372619,0
0.01900475119,-433.2749798,-4.204258032,-433.2749798,-4.204258032,26.51948288,0
0.01912978245,-433.1655446,-4.142610669,-433.1655446,-4.142610669,26.64505666,0
0.0192548137,-433.0560956,-4.081225482,-433.0560956,-4.081225482,26.77054972,0
0.01937984496,-432.946633,-4.020098169,-432.946633,-4.020098169,26.89593938,0
0.01950487622,-432.8371571,-3.959224426,-432.8371571,-3.959224426,27.02117959,0
0.01962990748,-432.727668,-3.898599951,-432.727668,-3.898599951,27.14634986,0
0.01975493873,-432.618166,-3.838220441,-432.618166,-3.838220441,27.27138904,0
0.01987996999,-432.5086513,-3.778081593,-432.5086513,-3.778081593,27.39632171,0
0.02000500125,-432.3991242,-3.718179103,-432.3991242,-3.718179103,27.52118794,0
0.02013003251,-432.2895848,-3.65850867,-432.2895848,-3.65850867,27.64589979,0
0.02025506377,-432.1800334,-3.599065989,-432.1800334,-3.599065989,27.77054329,0
0.02038009502,-432.0704703,-3.539846759,-432.0704703,-3.539846759,27.89509996,0
0.02050512628,-431.9608956,-3.480846677,-431.9608956,-3.480846677,28.01953081,0
0.02063015754,-431.8513096,-3.422061438,-431.8513096,-3.422061438,28.14390307,0
0.0207551888,-431.7417124,-3.363486741,-431.7417124,-3.363486741,28.26816596,0
0.02088022006,-431.6321045,-3.305118283,-431.6321045,-3.305118283,28.39233983,0
0.02100525131,-431.5224858,-3.246951761,-431.5224858,-3.246951761,28.51645838,0
0.02113028257,-431.4128568,-3.188982871,-431.4128568,-3.188982871,28.64044913,0
0.02125531383,-431.3032175,-3.131207312,-431.3032175,-3.131207312,28.7643832,0
0.02138034509,-431.1935683,-3.073620779,-431.1935683,-3.073620779,28.88824583,0
0.02150537634,-431.0839094,-3.01621897,-431.0839094,-3.01621897,29.01200487,0
0.0216304076,-430.9742409,-2.958997583,-430.9742409,-2.958997583,29.13571595,0
0.02175543886,-430.8645632,-2.901952314,-430.8645632,-2.901952314,29.2593379,0
0.02188047012,-430.7548764,-2.84507886,-430.7548764,-2.84507886,29.38288733,0
0.02200550138,-430.6451808,-2.788372919,-430.6451808,-2.788372919,29.50639186,0
0.02213053263,-430.5354766,-2.731830187,-430.5354766,-2.731830187,29.62979347,0
0.02225556389,-430.425764,-2.675446362,-430.425764,-2.675446362,29.75314944,0
0.02238059515,-430.3160433,-2.619217141,-430.3160433,-2.619217141,29.87644836,0
0.02250562641,-430.2063146,-2.56313822,-430.2063146,-2.56313822,29.99966467,0
0.02263065766,-430.0965783,-2.507205298,-430.0965783,-2.507205298,30.12284303,0
