# y   ux   uy   uz
3.48582541e-03  1.51000000e+01  -2.32973470e-01  1.87379374e+01
3.58565662e-03  1.51000000e+01  -2.40976006e-01  1.87379374e+01
3.68794231e-03  1.51000000e+01  -2.49175295e-01  1.87379374e+01
3.79274281e-03  1.51000000e+01  -2.57576173e-01  1.87379374e+01
3.90011995e-03  1.51000000e+01  -2.66183597e-01  1.87379374e+01
4.01013710e-03  1.51000000e+01  -2.75002644e-01  1.87379374e+01
4.12285915e-03  1.51000000e+01  -2.84038519e-01  1.87379374e+01
4.23835261e-03  1.51000000e+01  -2.93296552e-01  1.87379374e+01
4.35668561e-03  1.51000000e+01  -3.02782205e-01  1.87379374e+01
4.47792798e-03  1.51000000e+01  -3.12501074e-01  1.87379374e+01
4.60215123e-03  1.51000000e+01  -3.22458893e-01  1.87379374e+01
4.72942867e-03  1.51000000e+01  -3.32661537e-01  1.87379374e+01
4.85983538e-03  1.51000000e+01  -3.43115026e-01  1.87379374e+01
4.99344829e-03  1.51000000e+01  -3.53825526e-01  1.87379374e+01
5.13034624e-03  1.51000000e+01  -3.64799357e-01  1.87379374e+01
5.27061000e-03  1.51000000e+01  -3.76042993e-01  1.87379374e+01
5.41432230e-03  1.51000000e+01  -3.87563068e-01  1.87379374e+01
5.56156795e-03  1.51000000e+01  -3.99366377e-01  1.87379374e+01
5.71243382e-03  1.51000000e+01  -4.11459885e-01  1.87379374e+01
5.86700890e-03  1.51000000e+01  -4.23850727e-01  1.87379374e+01
6.02538440e-03  1.51000000e+01  -4.36546213e-01  1.87379374e+01
6.18765375e-03  1.51000000e+01  -4.49553832e-01  1.87379374e+01
6.35391269e-03  1.51000000e+01  -4.62881260e-01  1.87379374e+01
6.52425931e-03  1.51000000e+01  -4.76536359e-01  1.87379374e+01
6.69879411e-03  1.51000000e+01  -4.90527185e-01  1.87379374e+01
6.87762006e-03  1.51000000e+01  -5.04861992e-01  1.87379374e+01
7.06084266e-03  1.51000000e+01  -5.19549238e-01  1.87379374e+01
7.24857002e-03  1.51000000e+01  -5.34597588e-01  1.87379374e+01
7.44091287e-03  1.51000000e+01  -5.50015920e-01  1.87379374e+01
7.63798471e-03  1.51000000e+01  -5.65813330e-01  1.87379374e+01
7.83990181e-03  1.51000000e+01  -5.81999139e-01  1.87379374e+01
8.04678327e-03  1.51000000e+01  -5.98582896e-01  1.87379374e+01
8.25875117e-03  1.51000000e+01  -6.15574384e-01  1.87379374e+01
8.47593056e-03  1.51000000e+01  -6.32983629e-01  1.87379374e+01
8.69844957e-03  1.51000000e+01  -6.50820901e-01  1.87379374e+01
8.92643948e-03  1.51000000e+01  -6.69096724e-01  1.87379374e+01
9.16003480e-03  1.51000000e+01  -6.87821880e-01  1.87379374e+01
9.39937334e-03  1.51000000e+01  -7.07007418e-01  1.87379374e+01
9.64459631e-03  1.51000000e+01  -7.26664654e-01  1.87379374e+01
9.89584838e-03  1.51000000e+01  -7.46805188e-01  1.87379374e+01
1.01482875e-02  1.51000000e+01  -7.67040877e-01  1.87379374e+01
1.03988625e-02  1.51000000e+01  -7.87127136e-01  1.87379374e+01
1.06494375e-02  1.51000000e+01  -8.07213395e-01  1.87379374e+01
1.09000125e-02  1.51000000e+01  -8.27299654e-01  1.87379374e+01
1.11505875e-02  1.51000000e+01  -8.47385913e-01  1.87379374e+01
1.14011625e-02  1.51000000e+01  -8.67472173e-01  1.87379374e+01
1.16517375e-02  1.51000000e+01  -8.87558432e-01  1.87379374e+01
1.19023125e-02  1.51000000e+01  -9.07644691e-01  1.87379374e+01
1.21528875e-02  1.51000000e+01  -9.27730950e-01  1.87379374e+01
1.24034625e-02  1.51000000e+01  -9.47817209e-01  1.87379374e+01
1.26540375e-02  1.51000000e+01  -9.67903469e-01  1.87379374e+01
1.29046125e-02  1.51000000e+01  -9.87989728e-01  1.87379374e+01
1.31551875e-02  1.51000000e+01  -1.00807599e+00  1.87379374e+01
1.34057625e-02  1.51000000e+01  -1.02816225e+00  1.87379374e+01
1.36563375e-02  1.51000000e+01  -1.04824851e+00  1.87379374e+01
1.39069125e-02  1.51000000e+01  -1.06833476e+00  1.87379374e+01
1.41574875e-02  1.51000000e+01  -1.08842102e+00  1.87379374e+01
1.44080625e-02  1.51000000e+01  -1.10850728e+00  1.87379374e+01
1.46586375e-02  1.51000000e+01  -1.12859354e+00  1.87379374e+01
1.49092125e-02  1.51000000e+01  -1.14867980e+00  1.87379374e+01
1.51597875e-02  1.51000000e+01  -1.16876606e+00  1.87379374e+01
1.54103625e-02  1.51000000e+01  -1.18885232e+00  1.87379374e+01
1.56609375e-02  1.51000000e+01  -1.20893858e+00  1.87379374e+01
1.59115125e-02  1.51000000e+01  -1.22902484e+00  1.87379374e+01
1.61620875e-02  1.51000000e+01  -1.24911110e+00  1.87379374e+01
1.64126625e-02  1.51000000e+01  -1.26919736e+00  1.87379374e+01
1.66632375e-02  1.51000000e+01  -1.28928362e+00  1.87379374e+01
1.69138125e-02  1.51000000e+01  -1.30936987e+00  1.87379374e+01
1.71643875e-02  1.51000000e+01  -1.32945613e+00  1.87379374e+01
1.74149625e-02  1.51000000e+01  -1.34954239e+00  1.87379374e+01
1.76655375e-02  1.51000000e+01  -1.36962865e+00  1.87379374e+01
1.79161125e-02  1.51000000e+01  -1.38971491e+00  1.87379374e+01
1.81666875e-02  1.51000000e+01  -1.40980117e+00  1.87379374e+01
1.84172625e-02  1.51000000e+01  -1.42988743e+00  1.87379374e+01
1.86678375e-02  1.51000000e+01  -1.44997369e+00  1.87379374e+01
1.89184125e-02  1.51000000e+01  -1.47005995e+00  1.87379374e+01
1.91689875e-02  1.51000000e+01  -1.49014621e+00  1.87379374e+01
1.94195625e-02  1.51000000e+01  -1.51023247e+00  1.87379374e+01
1.96701375e-02  1.51000000e+01  -1.53031873e+00  1.87379374e+01
1.99207125e-02  1.51000000e+01  -1.55040499e+00  1.87379374e+01
1.01482875e-02  1.51000000e+01  -7.67040877e-01  1.87379374e+01
1.03988625e-02  1.51000000e+01  -7.87127136e-01  1.87379374e+01
1.06494375e-02  1.51000000e+01  -8.07213395e-01  1.87379374e+01
